,strain,genus,species,elevation,pH,temperature,moisture,media_LB,media_SF900,province_chaiyaphum,province_kalasin,province_kamphaengphet,province_lampang,province_mahasarakham,province_nakhonratchasima,province_phetchabuns,province_phitsanulok,province_saraburi,province_udonthani,soiltype_clay loam,soiltype_loam,soiltype_sand,soiltype_sandy loam
19876,447,Photorhabdus,luminescens,5.176149732573829,0.7777777777777772,0.6428571428571428,0.2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
19877,448,Photorhabdus,luminescens,5.327876168789581,0.8888888888888884,0.6428571428571428,0.13333333333333336,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
19878,449,Xenorhabdus,stockiae,5.288267030694535,0.7777777777777772,0.5714285714285714,0.2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
19880,451,Photorhabdus,luminescens,6.748759547491679,0.8888888888888884,0.3571428571428572,0.13333333333333336,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
19881,452,Xenorhabdus,vietnamensis,6.739336627357174,0.8888888888888884,0.4285714285714286,0.13333333333333336,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
19883,453,Xenorhabdus,vietnamensis,6.739336627357174,0.8888888888888884,0.4285714285714286,0.2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
19885,454,Photorhabdus,luminescens,6.760414691083428,0.7777777777777772,0.3571428571428572,0.2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
19886,455,Xenorhabdus,japonica,6.779921907472252,0.7777777777777772,0.4285714285714286,0.2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
19887,456,Photorhabdus,luminescens,6.742880635791903,0.8888888888888884,0.3571428571428572,0.13333333333333336,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
19888,457,Photorhabdus,luminescens,6.760414691083428,0.7777777777777772,0.3571428571428572,0.2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
19899,467,Photorhabdus,luminescens,7.085901464365611,0.6666666666666665,0.2142857142857144,0.4666666666666667,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
19903,454,Photorhabdus,luminescens,6.760414691083428,0.7777777777777772,0.3571428571428572,0.2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
19904,455,Xenorhabdus,japonica,6.779921907472252,0.7777777777777772,0.4285714285714286,0.2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
19905,456,Photorhabdus,luminescens,6.742880635791903,0.8888888888888884,0.3571428571428572,0.13333333333333336,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
19906,457,Photorhabdus,luminescens,6.760414691083428,0.7777777777777772,0.3571428571428572,0.2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
19917,467,Photorhabdus,luminescens,7.085901464365611,0.6666666666666665,0.2142857142857144,0.4666666666666667,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
19919,469,Photorhabdus,luminescens,5.673323267171493,1.0,0.9285714285714284,0.06666666666666667,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
19920,470,Photorhabdus,luminescens,5.963579343618446,1.0,0.7142857142857144,0.06666666666666667,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
19921,471,Photorhabdus,luminescens,5.594711379601839,0.8888888888888884,0.7857142857142856,0.2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
19923,472,Photorhabdus,luminescens,5.978885764901122,0.8888888888888884,0.7142857142857144,0.06666666666666667,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
19924,473,Xenorhabdus,stockiae,3.9318256327243257,1.0,0.7142857142857144,0.06666666666666667,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
19925,474,Xenorhabdus,stockiae,3.784189633918261,1.0,0.7142857142857144,0.06666666666666667,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
19926,475,Xenorhabdus,stockiae,5.288267030694535,0.8888888888888884,0.6428571428571428,0.06666666666666667,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
19927,476,Xenorhabdus,stockiae,5.111987788356544,0.8888888888888884,0.7142857142857144,0.06666666666666667,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
19928,477,Xenorhabdus,stockiae,5.308267697401205,1.0,0.7142857142857144,0.06666666666666667,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
19929,478,Xenorhabdus,stockiae,5.327876168789581,1.0,0.7142857142857144,0.06666666666666667,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
19931,469,Photorhabdus,luminescens,5.673323267171493,1.0,0.9285714285714284,0.06666666666666667,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
19933,470,Photorhabdus,luminescens,5.963579343618446,1.0,0.7142857142857144,0.06666666666666667,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
19934,471,Photorhabdus,luminescens,5.594711379601839,0.8888888888888884,0.7857142857142856,0.2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
19935,472,Photorhabdus,luminescens,5.978885764901122,0.8888888888888884,0.7142857142857144,0.06666666666666667,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
19936,473,Xenorhabdus,stockiae,3.9318256327243257,1.0,0.7142857142857144,0.06666666666666667,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
19940,474,Xenorhabdus,stockiae,3.784189633918261,1.0,0.7142857142857144,0.06666666666666667,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
19941,475,Xenorhabdus,stockiae,5.288267030694535,0.8888888888888884,0.6428571428571428,0.06666666666666667,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
19942,476,Xenorhabdus,stockiae,5.111987788356544,0.8888888888888884,0.7142857142857144,0.06666666666666667,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
19943,477,Xenorhabdus,stockiae,5.308267697401205,1.0,0.7142857142857144,0.06666666666666667,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
19944,478,Xenorhabdus,stockiae,5.327876168789581,1.0,0.7142857142857144,0.06666666666666667,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
19947,479,Xenorhabdus,stockiae,5.676753802268282,0.0,0.6428571428571428,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
19948,480,Photorhabdus,luminescens,5.327876168789581,0.6666666666666665,0.7142857142857144,0.6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
19950,481,Xenorhabdus,stockiae,5.69035945432406,1.0,0.5714285714285714,0.06666666666666667,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
19951,482,Xenorhabdus,stockiae,4.0943445622221,0.7777777777777772,0.6428571428571428,0.13333333333333336,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
19952,483,Xenorhabdus,stockiae,5.081404364984463,0.8888888888888884,0.7857142857142856,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
19953,484,Xenorhabdus,stockiae,3.9889840465642745,1.0,0.8571428571428572,0.06666666666666667,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
19954,485,Photorhabdus,luminescens,3.9512437185814275,1.0,0.7142857142857144,0.06666666666666667,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
19955,486,Xenorhabdus,stockiae,4.0943445622221,0.7777777777777772,0.6428571428571428,0.2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
19956,487,Xenorhabdus,stockiae,3.784189633918261,1.0,0.7857142857142856,0.06666666666666667,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
19957,488,Photorhabdus,luminescens,5.631211781821365,0.8888888888888884,1.0,0.06666666666666667,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
19960,490,Photorhabdus,luminescens,7.151485463904735,0.5555555555555554,0.0,0.33333333333333337,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
19961,491,Xenorhabdus,stockiae,5.2574953720277815,0.8888888888888884,0.5714285714285714,0.33333333333333337,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
19962,492,Photorhabdus,luminescens,5.318119993844216,1.0,0.5,0.13333333333333336,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
19963,493,Photorhabdus,luminescens,5.365976015021851,1.0,0.6428571428571428,0.2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
19965,479,Xenorhabdus,stockiae,5.676753802268282,0.0,0.6428571428571428,1.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
19966,480,Photorhabdus,luminescens,5.327876168789581,0.6666666666666665,0.7142857142857144,0.6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
19967,481,Xenorhabdus,stockiae,5.69035945432406,1.0,0.5714285714285714,0.06666666666666667,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
19968,482,Xenorhabdus,stockiae,4.0943445622221,0.7777777777777772,0.6428571428571428,0.13333333333333336,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
19970,483,Xenorhabdus,stockiae,5.081404364984463,0.8888888888888884,0.7857142857142856,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
19971,484,Xenorhabdus,stockiae,3.9889840465642745,1.0,0.8571428571428572,0.06666666666666667,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
19972,485,Photorhabdus,luminescens,3.9512437185814275,1.0,0.7142857142857144,0.06666666666666667,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
19973,486,Xenorhabdus,stockiae,4.0943445622221,0.7777777777777772,0.6428571428571428,0.2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
19974,487,Xenorhabdus,stockiae,3.784189633918261,1.0,0.7857142857142856,0.06666666666666667,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
19975,488,Photorhabdus,luminescens,5.631211781821365,0.8888888888888884,1.0,0.06666666666666667,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
19977,490,Photorhabdus,luminescens,7.151485463904735,0.5555555555555554,0.0,0.33333333333333337,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
19978,491,Xenorhabdus,stockiae,5.2574953720277815,0.8888888888888884,0.5714285714285714,0.33333333333333337,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
19980,492,Photorhabdus,luminescens,5.318119993844216,1.0,0.5,0.13333333333333336,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
19981,493,Photorhabdus,luminescens,5.365976015021851,1.0,0.6428571428571428,0.2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
19982,494,Xenorhabdus,stockiae,5.225746673713202,0.8888888888888884,0.6428571428571428,0.33333333333333337,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
19983,495,Xenorhabdus,stockiae,5.337538079701318,1.0,0.9285714285714284,0.06666666666666667,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
19984,496,Photorhabdus,luminescens,5.1298987149230735,0.7777777777777772,0.7857142857142856,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
19986,498,Photorhabdus,luminescens,5.720311776607412,0.8888888888888884,0.7142857142857144,0.13333333333333336,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
19987,499,Photorhabdus,luminescens,7.148345743900068,0.4444444444444442,0.0714285714285714,0.9333333333333333,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
19988,500,Photorhabdus,luminescens,7.1459844677143876,0.6666666666666665,0.0714285714285714,0.6,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
19990,501,Photorhabdus,luminescens,7.085901464365611,0.5555555555555554,0.1428571428571428,0.26666666666666666,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
20000,494,Xenorhabdus,stockiae,5.225746673713202,0.8888888888888884,0.6428571428571428,0.33333333333333337,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
20001,495,Xenorhabdus,stockiae,5.337538079701318,1.0,0.9285714285714284,0.06666666666666667,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
20002,496,Photorhabdus,luminescens,5.1298987149230735,0.7777777777777772,0.7857142857142856,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
20004,498,Photorhabdus,luminescens,5.720311776607412,0.8888888888888884,0.7142857142857144,0.13333333333333336,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
20005,499,Photorhabdus,luminescens,7.148345743900068,0.4444444444444442,0.0714285714285714,0.9333333333333333,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
