m/z,retention time,n peaks
379.1662210317758,5.558217521367522,1.0
219.06523166485687,5.082561194029852,6.0
538.2287892308728,4.364785632183908,1.0
134.04393796831647,7.143080218068537,1.0
348.15583745715685,2.270031472491908,1.0
379.1679556203443,6.076644573643413,2.0
141.12686721371932,6.784533333333332,1.0
538.3269009497858,0.12651602150537644,3.0
221.13824878755156,0.025611202185792357,4.0
159.13805921217977,0.489101176470588,2.0
668.9109923293472,11.003780633147123,11.0
381.14789321001837,5.414917254901961,2.0
576.3491220900282,4.7469323024054955,16.0
215.1062728563944,5.059999459876546,2.0
541.9037780761719,5.045205782312926,1.0
542.4065536499023,5.0364683333333335,1.0
353.6757691028072,2.719508823529412,1.0
542.4061279296875,5.454362121212123,1.0
163.04236034318512,2.1882391503267993,4.0
381.1656230408468,4.6965693415637855,1.0
673.4165562034673,6.168943589743593,6.0
221.13834567163502,0.12822463235294115,3.0
543.9023340398616,4.716610606060606,1.0
359.68120018454164,3.673423921568627,1.0
578.7961725926663,3.7360358974358983,16.0
215.8330616198088,6.589460087719297,9.0
544.4039611816406,4.71869090909091,1.0
225.12382509561576,5.053395112414465,2.0
381.18011728922534,6.308418719806761,2.0
166.12751203556127,0.041174804905239684,1.0
379.24602171190736,0.7308810657596376,1.0
379.7467803955078,0.15616666666666665,1.0
226.1731913590632,5.11681106442577,14.0
579.2931661765667,3.7581567039106156,12.0
382.18357551388624,6.265954878048778,1.0
232.13256931732585,5.066731390134528,2.0
547.3320373535156,0.5711220512820514,3.0
233.63588174184162,4.828982638888889,2.0
550.9052107377487,4.763156363636363,1.0
551.3334865570068,0.12620520833333332,1.0
383.13139553978334,6.432218730158726,3.0
233.63678597842946,5.04567725490196,2.0
234.15509353365215,5.051381398809523,2.0
594.3251765033988,5.825637623762372,12.0
551.4070517800071,4.718757575757576,1.0
388.527893799173,2.6249437853107365,1.0
384.1348902775691,6.458477179487178,2.0
691.5085995476115,14.787214558472565,13.0
394.2487546859249,6.26348440860215,1.0
601.332275390625,5.382430672268909,12.0
242.13892325872104,6.083816350210968,2.0
166.12761579241072,0.2022966666666665,4.0
552.4109917420608,5.137290144230772,14.0
385.1736237056672,6.014146031746031,3.0
166.6294016622419,0.4690652428810715,4.0
221.13851148255017,9.982924362244901,3.0
243.1419726901584,6.065452962962963,2.0
168.10662460327146,0.04120751748251748,1.0
557.2951799359239,4.486780701754388,2.0
394.5311989197757,2.6230418003565057,1.0
602.2647611880731,6.041555988023952,26.0
391.74544190197463,4.311758943089433,2.0
250.1437294642131,5.08972011111111,4.0
